city,quality_score_mean,quality_score_median,quality_score_min,quality_score_max,quality_score_std,confidence_level_<lambda>,missing_values_percentage_mean,outlier_count_sum,SO2_mean,SO2_median,NO2_mean,NO2_median,PM2.5_mean,PM2.5_median,RSPM_mean,RSPM_median,SPM_mean,SPM_median,total_measurements
Moradabad,88.10521966527196,88.24,76.47,88.24,1.1327111773892333,0.0,11.821558577405858,14,15.441640378548897,13.0,25.565720294426917,24.0,,,167.84100418410043,161.0,,,956
Mormugao,75.2403041825095,76.47,58.81999999999999,82.35,4.411983410785158,0.0,24.759695817490496,0,5.677966101694915,4.3,11.77763157894737,10.75,,,47.172413793103445,40.0,104.31297709923665,87.5,263
Mumbai,84.52043884599756,88.24,64.12,94.12,5.097838037135401,3.575782202356766,15.3292157659488,68,6.040514631685166,4.0,29.293274170948155,23.0,,,113.64697674418605,102.0,206.34939965694682,185.65,2461
Mysore,85.4412613981763,82.35,52.35,94.12,4.256658817002226,8.206686930091186,14.47515197568389,14,14.901180502665651,12.2,23.26260969095765,22.0,,,49.84570661896243,48.0,87.60687022900764,85.0,2632
Nagaon,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,6.7565410199556535,7.0,14.164966740576496,14.0,,,109.71840354767184,101.0,,,451
Nagda,84.19171494404213,82.35,46.47,94.12,7.696329521388131,16.52402896642528,15.627244897959184,86,21.85684362585771,20.3,24.254312522555033,24.0,38.355414012738855,38.0,87.24989987985583,91.0,131.4202975557917,129.0,3038
Nagpur,84.43124664708137,88.24,46.47,94.12,6.249154534871514,9.61808660109848,15.487644654489719,109,9.1804296169568,9.0,28.41435221957506,26.8,,,93.7627015316324,79.0,191.05496394233174,178.0,7829
Nahan,74.18146048109966,76.47,58.81999999999999,82.35,4.24104309485305,0.0,25.474896907216493,80,3.012698412698412,2.8,14.29744718309859,13.8,,,154.22608695652173,127.0,291.75930735930734,242.0,1164
Naharlagun,85.23177777777778,88.24,76.47,88.24,4.959339806176955,0.0,14.768222222222223,0,3.0,2.0,4.7272727272727275,5.0,,,68.08888888888889,63.0,,,45
Nalagarh,84.61298122065728,88.24,40.59,88.24,6.056989672010196,0.0,15.310727699530517,1,2.152063492063492,2.0,21.440940525587827,20.0,,,93.94552529182879,90.0,175.94871794871796,163.5,852
Nalbari,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,6.597341513292434,6.5,15.675460122699388,15.5,,,98.2760736196319,95.0,,,489
Nalco,72.05944444444445,76.47,58.81999999999999,76.47,5.969874344445914,0.0,27.940555555555555,0,9.42,6.949999999999999,14.050666666666666,11.9,,,,,131.6530612244898,128.5,108
Nalgonda,85.47670563230606,88.24,58.24,88.24,8.37894064722017,0.0,11.972816153028694,0,4.894686503719447,4.0,19.32295430393199,18.0,,,79.85122210414453,81.0,214.64705882352942,220.0,941
Nanded,86.18979748603351,88.24,78.24,88.24,3.5530838212741167,0.0,11.76411312849162,586,38.09783368273934,31.0,37.185754189944134,29.0,,,89.24441340782123,71.5,,,1432
Nashik,86.65457531584062,88.24,46.47,94.12,4.301451125380036,11.564625850340136,13.081090379008744,254,27.07061224489796,26.0,27.20505344995141,27.0,,,81.17864434463046,76.0,146.48865096359742,133.0,5145
Navi Mumbai,85.82198881068399,88.24,58.81999999999999,94.12,5.267965367436534,10.160620826565602,13.798115863562534,421,17.268818287253985,16.0,39.87129393165815,40.0,,,121.46780721114975,109.0,264.63811027749705,221.0,5541
Naya Nangal,81.52887051230334,82.35,58.81999999999999,94.12,6.588700658476012,0.04033884630899556,18.4691125453812,1,7.418212077983832,7.0,19.29135101010101,18.0,,,88.72429361179361,87.0,207.8727034120735,205.0,2479
Nellore,88.05252450980392,88.24,70.59,88.24,1.7639873442712537,0.0,11.947475490196078,0,4.277475247524753,5.0,16.942574257425743,15.0,,,63.84405940594059,64.0,193.0,193.0,408
Nizamabad,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,4.814814814814815,5.0,12.407407407407407,12.0,,,55.51851851851852,56.0,,,27
Noida,86.49136786188579,88.24,58.81999999999999,94.12,6.266056434791304,26.89243027888446,13.435590969455511,22,13.420432309468941,11.2,44.293637809563734,44.7,,,144.38808837680835,141.0,398.83213859023294,426.16666665,1506
"Noida, Ghaziabad",63.03074074074075,64.71000000000001,58.81999999999999,64.71000000000001,2.6458602293538442,0.0,36.59888888888889,2,,,,,,,,,502.0952380952381,530.0,27
Nongstoin,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,2.0,2.0,8.809322033898304,10.0,,,26.36864406779661,26.0,,,236
Ongole,88.01728706624606,88.24,70.59,88.24,1.973211790102118,0.0,11.982712933753943,0,4.706070287539936,5.0,22.39297124600639,22.0,,,64.56869009584665,65.0,,,317
Palakkad,81.69614125753661,88.24,58.81999999999999,94.12,8.627140769449094,10.422049956933678,18.27801894918174,6,3.77349593495935,2.0,8.211090425531914,6.3,,,58.81022461814914,39.0,134.53529581529583,145.0,1161
Panaji,82.21648445873525,88.24,64.71000000000001,94.12,7.214786130944024,0.4287245444801715,17.783515541264737,0,5.2363977485928705,3.0,13.744642857142857,12.0,,,61.90231362467866,55.0,113.69670329670329,103.0,933
Panjim,76.23713375796179,76.47,52.35,82.35,6.016842179159869,0.0,22.106815286624204,46,27.05796178343949,20.0,15.370512820512822,18.700000000000003,,,0.0,0.0,67.28,0.0,157
Paonta Sahib,82.30106634353227,88.24,58.24,88.24,6.831095125976805,0.0,17.59139048773099,35,2.4123123123123125,2.0,13.782013932868903,14.0,,,128.3049900199601,119.0,247.23272297696397,223.0,3301
Paradeep,92.64311688311687,94.12,84.12,94.12,2.5743184068293172,75.06493506493507,7.330909090909091,2,10.945454545454545,10.0,12.225974025974025,12.0,35.43103448275862,29.0,94.88571428571429,82.0,,,385
Parwanoo,83.62347147317627,88.24,58.81999999999999,88.24,6.653799951059724,0.0,16.359497587283567,12,2.62927525883613,2.0,11.63430754030009,11.0,,,75.95011154857194,69.0,172.13627992633516,154.0,3523
Patancheru,86.396286966046,88.24,77.35,88.24,2.818865664140854,0.0,13.559901423877326,8,8.83658269441402,6.0,23.31993428258488,23.0,,,87.28148959474261,87.0,216.48745519713262,170.0,913
Pathanamthitta,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,2.0,2.0,13.630485762144053,13.0,,,23.132328308207704,23.0,,,597
Patiala,87.94942857142857,88.24,58.81999999999999,88.24,2.472700054368963,0.0,12.047087108013937,1,6.37578125,6.0,17.656509500351866,16.7,,,108.12054462934945,103.0,198.0,193.0,1435
Patna,83.75786308381318,82.35,46.47,94.12,5.906410581362729,12.539987204094691,15.851861804222649,104,9.735405027932961,9.0,32.79193548387097,27.0,,,123.70517629407352,107.0,271.65335753176043,253.0,1563
Pithampur,88.07064748201438,88.24,76.47,88.24,1.406710732515927,0.0,11.929352517985611,0,8.153284671532846,8.0,17.766423357664234,18.0,,,119.18705035971223,124.0,,,139
Ponda,90.38726027397261,94.12,70.59,94.12,4.826813656455844,50.68493150684932,9.612739726027398,0,4.919534883720931,5.0,10.002777777777778,9.2,17.135922330097088,16.0,50.33816425120773,49.0,47.43,41.5,219
Pondicherry,85.52142464812908,88.24,58.81999999999999,94.12,6.676383468488564,18.125643666323377,14.475142464812906,2,8.882249267938507,6.2,13.069797288944917,13.0,,,44.807010124340636,42.33333333,79.43871951218293,71.5,2913
Pondichery,79.78863945578232,82.35,42.35,82.35,4.8742456720999545,0.0,18.476666666666663,117,29.670232558139535,18.3,34.313752913752914,25.1,,,,,161.52238805970148,125.0,441
Pune,85.8694516315891,88.24,52.35,94.12,4.638832027639657,9.113728519019116,13.400677737014869,744,24.676891813431393,22.0,45.356015473887815,42.0,,,107.54748021657643,94.0,212.7364406779661,210.0,5179
